Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,18403.33,2020-07-12T01:01:01
Banco Bradesco,0566,36613-1,Banco NuBank,1858,64257,10525.13,2020-07-12T01:01:01
Banco do Brasil,5036,35134-1,Banco Itaú,3423,47825,71403.22,2020-07-12T01:01:01
Banco NuBank,7789,67824-1,Banco NuBank,2545,30061,85371.56,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,55696.61,2020-07-06T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,95415.51,2020-03-20T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,3163.98,2020-07-12T01:01:01
Banco NuBank,1125,40848-1,Banco NuBank,1555,58542,74970.83,2020-07-12T01:01:01
Banco Bradesco,6694,63603-1,Banco Santander,6997,59652,4342.41,2020-10-13T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,617417.22,2020-07-12T01:01:01
Banco do Brasil,9419,11160-1,Banco Itaú,8753,13837,15579.8,2020-07-12T01:01:01
Banco NuBank,9523,76463-1,Banco NuBank,8226,59453,13069.65,2020-07-12T01:01:01
Banco Santander,4435,29590-1,Banco NuBank,4471,26890,28544.89,2020-07-12T01:01:01
Banco NuBank,8675,51818-1,Banco NuBank,9216,41297,93319.36,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,13484.65,2020-07-12T01:01:01
Banco Bradesco,1007,83657-1,Banco NuBank,1678,18938,18822.46,2020-04-18T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,271523.85,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,96169.36,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,51658.73,2020-07-12T01:01:01
Banco NuBank,8003,83174-1,Banco NuBank,7002,95237,81918.47,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,154018.79,2020-08-24T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,69388.98,2020-07-12T01:01:01
Banco NuBank,2568,29933-1,Banco NuBank,4622,51713,75352.99,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,70327.75,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,41998.48,2020-01-21T01:01:01
Banco NuBank,4804,97933-1,Banco Santander,7105,11479,76871.38,2020-07-12T01:01:01
Banco NuBank,1409,32971-1,Banco NuBank,3667,40918,65096.99,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,316462.82,2020-07-12T01:01:01
Banco NuBank,7739,31472-1,Banco NuBank,9526,16472,96543.83,2020-07-12T01:01:01
Banco Santander,8038,68803-1,Banco NuBank,9174,01018-1,39701.64,2020-07-12T01:01:01
Banco Santander,7139,70123-1,Banco NuBank,4711,42658,18802.91,2020-10-27T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,124462.66,2020-07-12T01:01:01
Banco NuBank,9544,38667-1,Banco NuBank,6417,89344,37968.56,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,218673.97,2020-09-19T01:01:01
Banco NuBank,7382,84447-1,Banco NuBank,8461,81755,79172.07,2020-05-23T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,287033.41,2020-12-08T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,817245.57,2020-06-26T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,6837.74,2020-07-12T01:01:01
Banco NuBank,3275,10688-1,Banco NuBank,4761,97249,67857.39,2020-07-12T01:01:01
Banco NuBank,3531,68709-1,Banco NuBank,7814,58463,67179.71,2020-01-17T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,57421.07,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,680086.43,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,60240.38,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,985027.08,2020-04-16T01:01:01
Banco Itaú,3638,62308-1,Banco Santander,8030,83229,86464.76,2020-02-17T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,97038.86,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,185894.44,2020-09-07T01:01:01
Banco NuBank,0588,99490-1,Banco NuBank,6727,40598,86389.24,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,182225.65,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,80986.12,2020-05-09T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,26250.26,2020-10-23T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,99348.74,2020-04-19T01:01:01
Banco NuBank,6317,53867-1,Banco Bradesco,1302,40279,58337.1,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,235318.78,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,84209.2,2020-07-12T01:01:01
Banco Itaú,7632,43792-1,Banco NuBank,7056,40378,83485.18,2020-04-20T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,533693.25,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,44125.94,2020-05-18T01:01:01
Banco Santander,9771,80641-1,Banco NuBank,9818,54309,67111.65,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,869503.12,2020-07-12T01:01:01
Banco NuBank,3068,99405-1,Banco NuBank,2385,21024,24691.9,2020-06-15T01:01:01
Banco Santander,3972,12463-1,Banco Bradesco,9863,30296,25350.33,2020-02-25T01:01:01
Banco NuBank,7728,79896-1,Banco Santander,4685,09770-1,49037.93,2020-10-27T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,728363.64,2020-11-03T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,60799.64,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,118849.92,2020-07-12T01:01:01
Banco Santander,2573,17793-1,Banco Bradesco,1960,71868,60308.54,2020-07-12T01:01:01
Banco NuBank,6310,34425-1,Banco NuBank,8633,53805,10505.81,2020-04-04T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,116743.96,2020-07-12T01:01:01
Banco Itaú,8272,73034-1,Banco Bradesco,0164,59573,68162.51,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,228917.66,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,65952.92,2020-09-07T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,626274.48,2020-03-04T01:01:01
Banco NuBank,1850,19824-1,Banco NuBank,0004,31759,49507.13,2020-07-12T01:01:01
Banco NuBank,7669,61941-1,Banco NuBank,9920,90451,36300.74,2020-07-12T01:01:01
Banco Bradesco,6438,02176-1,Banco Bradesco,8934,40684,78073.0,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,55382.36,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,861257.54,2020-07-12T01:01:01
Banco NuBank,0860,64244-1,Banco NuBank,6715,65429,39691.64,2020-05-17T01:01:01
Banco Bradesco,6422,23788-1,Banco NuBank,4886,82310,19052.13,2020-07-22T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,7684.26,2020-07-12T01:01:01
Banco Santander,4122,84829-1,Banco Santander,4683,60890,10563.02,2020-06-06T01:01:01
Banco NuBank,1446,06118-1,Banco NuBank,2622,93028,35561.72,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,20485.36,2020-07-12T01:01:01
Banco NuBank,9846,52821-1,Banco NuBank,7599,81306,99704.95,2020-12-14T01:01:01
Banco NuBank,5457,67171-1,Banco NuBank,5617,68948,22934.43,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,73223.5,2020-12-25T01:01:01
Banco NuBank,4508,20957-1,Banco Itaú,6602,69665,89439.04,2020-05-26T01:01:01
Banco Santander,6305,52775-1,Banco Itaú,0208,42679,36405.66,2020-07-12T01:01:01
Banco Bradesco,7657,90654-1,Banco Santander,8729,88172,16644.2,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,42300.11,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,50045.16,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,12002.05,2020-07-12T01:01:01
Banco Itaú,3126,66230-1,Banco Itaú,4769,59344,23076.8,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,596893.46,2020-07-12T01:01:01
Banco Bradesco,2904,16211-1,Banco Itaú,4583,00982-1-1,18462.39,2020-07-12T01:01:01
Banco NuBank,4231,35424-1,Banco Bradesco,3664,05105-1,30714.13,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,24053.55,2020-07-12T01:01:01
Banco NuBank,6853,53993-1,Banco NuBank,1749,41341,54832.07,2020-10-11T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,265290.63,2020-07-12T01:01:01
